Company Name,Title,Location,qualification,Job Type
Spree Hotels,Front Office Associate,"Bengaluru, Karnataka","Time management,Microsoft Office,Organizational skills,Diploma",NA
Pentoz technology,SAP based profile,"Bengaluru, Karnataka","Software deployment,Project management,SAP,Business analysis,Communication skills,Bachelor's degree",NA
ELITE IIT,Civil Faculty,"Bengaluru, Karnataka","Teaching experience,Lesson planning,Bachelor's degree,Master's degree",NA
Nityo Infotech,Frontend With Python,"Bengaluru, Karnataka","React,Front-end development,Python,Linux,Angular",NA
Teamedge Services Private Limited,sales executive,"Bengaluru, Karnataka","Lead generation,Sales,Business development,Bachelor's degree,12th Pass",NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
Net Connect,Solarwinds Administrator,"Bengaluru, Karnataka","Analysis skills,Network protocols,Communication skills,Solarwinds,Encryption,Bachelor's degree",NA
Hashmap,Financial Analysis Advisor,"Bengaluru, Karnataka",,NA
Schneider Electric,New Project Purchaser,"Bengaluru, Karnataka","Procurement,Communication skills,Agile,Microsoft Excel,Negotiation,Bachelor's degree",NA
ConnectIN Jobs Global,Bancassurance Officer- Life Insurance,"MG Rd, Karnataka","Insurance sales,Sales",NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
PIKA Medical Private Limited,Territory Sales Executive - Healthcare,"Bengaluru, Karnataka","Microsoft Excel,Microsoft Powerpoint,Microsoft Word,Master's degree,M.B.A.",NA
The India Properties,Telesales Telecalling,"Bengaluru, Karnataka","Sales,12th Pass",NA
PropertyAngel Management Pvt Ltd,Customer Support Executive,"Bengaluru, Karnataka","Communication skills,Customer service,12th Pass",NA
CoreIP Legal Services,Sales Executive,"Bengaluru, Karnataka","Analysis skills,Lead generation,Communication skills,Microsoft Excel,Sales,Bachelor's degree,Master's degree,M.B.A.",NA
williams refrigerations,Sales Coordinator,"Bommasandra Industrial Area, Karnataka","Sales,Communication skills,Marketing,Bachelor's degree",NA
K C Mehta & Co LLP,Executive,"Bengaluru, Karnataka","SAP,B.B.A.,Bachelor's degree,Master's degree,M.B.A.",NA
Capgemini,Postgres | 9 to 12 years | Bangalore,"Bengaluru, Karnataka","Communication skills,SQL,PostgreSQL,JSON,Statistics",NA
Advanced gloskin,Front Office Executive,"Indiranagar, Bengaluru, Karnataka","Communication skills,Bachelor's degree",NA
Quess Corp Limited,Housekeeping Assistant,"Bengaluru, Karnataka","Housekeeping management,Cleaning",NA
Cognizant Technology Solutions,AIML,"Bengaluru, Karnataka","SQL,Python,Natural language processing,AI",NA
CEE BEE Design Studio,Sales and Operations,"Bengaluru, Karnataka",,NA
Aizov,Real Estate Agent,"Bengaluru, Karnataka","CRM software,Communication skills,Negotiation,Training & development,Bachelor's degree",NA
Yash Consultant,User Researcher,"Bengaluru, Karnataka","Figma,Design thinking,User research,Communication skills,Diploma",NA
mnr solutions pvt. ltd.,Duckcreek,"Bengaluru, Karnataka",Business analysis,NA
Srishti Software,Front Office Receptionist,"Bengaluru, Karnataka",,NA
Mercedes-Benz Research and Development India Private Limited,VerSO Activation(FICO),"Bengaluru, Karnataka","Communication skills,SAP",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
ACTIO HR SERVICE PROVIDED PRIVATE LIMITED,Sales Officers-FMCG,"Bengaluru, Karnataka","Leadership,Communication skills,Microsoft Excel,Time management",NA
