companyName,title,min_years,max_years,location,work_from_home,femaleCandidate,differentlyAbled,exDefence
Career Makers,DSP/PHY Architect - TDMA/CDMA/OFDMA Systems - C++ (8-15 yrs),8,15,Bangalore,0,0,0,0
Premier Consultants,Software Development Engineer - Java/Hibernate (3-10 yrs),3,10,Mumbai,0,0,0,0
Valuesoft Info Services,SAP ABAP Consultant (4-5 yrs),4,5,Bangalore,0,0,0,0
Tigi HR Solution,SAP MM Associate - CPI/R/3 Modules (2-5 yrs),2,5,"Anywhere in India/Multiple Locations,Bangalore",1,0,0,0
Growel Softech Pvt. Ltd.,SAP MDG/ABAP Consultant - System Implementation (7-9 yrs),7,9,Bangalore,0,0,0,0
HURON INDIA PVT LTD,Oracle EPM Consultant - PBCS/EPBCS Modules (2-10 yrs),2,10,"Bangalore,Chennai,Pune,Noida,Jaipur",0,0,0,0
Alexia Consulting Service LLP,SAP RTR Consultant - S/4 HANA/FICO Modules (6-14 yrs),6,14,Bangalore,0,0,0,0
Asindia Network,Oracle OM Consultant - Support & Implementation (6-10 yrs),6,10,Anywhere in India/Multiple Locations,0,0,0,0
Valuesoft Info Services,SAP PP/QM Consultant (4-7 yrs),4,7,Bangalore,0,0,0,0
Ubolt Technologies Private Limited,Senior Frontend Developer - Web Apps (4-9 yrs),4,9,Jaipur,0,0,0,0
Codemonk.ai,Codemonk - Senior Software Developer - React.js/Javascript (5-8 yrs),5,8,Anywhere in India/Multiple Locations,1,0,0,0
Spotflock Technologies Pvt Ltd,Spotflock Technologies - Wordpress Developer - PHP Frameworks (2-3 yrs),2,3,Hyderabad,0,0,0,0
Soptle,React.js Developer - Frontend Architecture (3-5 yrs),3,5,"Gurgaon/Gurugram,Delhi NCR",0,0,0,0
Edge in Asia Recruitment Private Limited,Engineering Lead (10-15 yrs),10,15,Hyderabad,0,0,0,0
Strategic HR Solutions,AWS Developer - Cloud Apps (5-10 yrs),5,10,"Mysore,Chennai,Bangalore",0,0,0,0
Hashone Careers,Hashone - STIBO Consultant - Master Data Management (3-5 yrs),3,5,Bangalore,0,0,0,0
Softsign HR Services,IAM Consultant/Assistant Manager/Manager - Okta/PingFederate/Active Directory (5-10 yrs),5,10,"Bangalore,Noida",0,0,0,0
A Big Job For You,Salesforce Developer - System Implementation (6-12 yrs),6,12,"Noida,Greater Noida",0,1,0,0
Persolkelly,Applications Support Engineer - Banking Domain (1-5 yrs),1,5,Mumbai,0,0,0,0
